codigo_inep;nome_curso;grau;turno;campus;area_conhecimento;area_conhecimento_vestibular;modalidade;unidade_responsavel;unidade_coordenacao
1110230;CIÊNCIAS SOCIAIS;LICENCIATURA;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE CIÊNCIAS SOCIAIS
13459;CIÊNCIAS SOCIAIS;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE CIÊNCIAS SOCIAIS
1166771;CINEMA E AUDIOVISUAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE CINEMA E AUDIOVISUAL
1203266;COMPUTAÇÃO;LICENCIATURA;Matutino e Vespertino;UFPB VIRTUAL;Ciências Exatas e da Terra;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;A Distância;CENTRO DE INFORMÁTICA (CI);CI - COORDENAÇÃO DE COMPUTAÇÃO (LICENCIATURA - EAD)
1125641;COMUNICAÇÃO EM MÍDIAS DIGITAIS;BACHARELADO;Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES (CCHLA);CCHLA - COORDENAÇÃO DE COMUNICAÇÃO EM MÍDIAS DIGITAIS
22457;COMUNICAÇÃO SOCIAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE RADIALISMO
28408;COMUNICAÇÃO SOCIAL;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE RADIALISMO
30652;COMUNICAÇÃO SOCIAL;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE RADIALISMO
1191007;DANÇA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências Humanas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE COMUNICAÇÃO, TURISMO E ARTES (CCTA);CCTA - COORDENAÇÃO DE DANÇA (LICENCIATURA)
107352;DESIGN;BACHARELADO;Matutino e Vespertino;Litoral Norte (Mamanguape e Rio Tinto);Engenharias;Área III - CIÊNCIAS EXATAS E TECNOLÓGICAS;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE DESIGN
1110415;DIREITO;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS JURÍDICAS (CCJ);CCJ - COORDENAÇÃO DE DIREITO (SANTA RITA)
1110415;DIREITO;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS JURÍDICAS (CCJ);CCJ - COORDENAÇÃO DE DIREITO (SANTA RITA)
13398;DIREITO;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS JURÍDICAS (CCJ);CCJ - COORDENAÇÃO DE DIREITO (JOÃO PESSOA)
13398;DIREITO;BACHARELADO;Noturno;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS JURÍDICAS (CCJ);CCJ - COORDENAÇÃO DE DIREITO (JOÃO PESSOA)
13398;DIREITO;BACHARELADO;Vespertino;João Pessoa;Ciências Sociais Aplicadas;Área IV - CIÊNCIAS HUMANAS E SOCIAIS;Presencial;CENTRO DE CIÊNCIAS JURÍDICAS (CCJ);CCJ - COORDENAÇÃO DE DIREITO (JOÃO PESSOA)
98980;ECOLOGIA;BACHARELADO;Matutino e Vespertino;Litoral Norte (Mamanguape e Rio Tinto);Ciências Exatas e da Terra;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS APLICADAS E EDUCAÇÃO (CCAE);CCAE - COORDENAÇÃO DE ECOLOGIA
122288;EDUCAÇÃO FÍSICA;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE EDUCAÇÃO FÍSICA (BACHARELADO)
13423;EDUCAÇÃO FÍSICA - LICENCIATURA;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE EDUCAÇÃO FÍSICA (LICENCIATURA)
44257;ENFERMAGEM;LICENCIATURA;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE ENFERMAGEM
44258;ENFERMAGEM;BACHARELADO;Matutino e Vespertino;João Pessoa;Ciências da Saúde;Área II -CIÊNCIAS BIOLÓGICAS E DA SAÚDE;Presencial;CENTRO DE CIÊNCIAS DA SAÚDE (CCS);CCS - COORDENAÇÃO DE ENFERMAGEM
